"combo_idx","scenario","n","type","prop","mechanism","method","is_mi","n_files","manifest","manifest_rows","done","expected_done","shortfall","n_skipped_no_arm","n_error","n_to_patch","error_message","basis","n_orphan_tmp","orphan_tmp","n_patched","n_unpatched","n_skipped_mi_files","n_no_arm_files","n_unreadable","first_unpatched_run","last_patched_run","patch_window_start","died_at","span_minutes","diagnosis"
22,5,500,"both",0.3,"MNAR-Y","mean_imputation",FALSE,100,FALSE,NA,0,100,100,0,0,0,NA,"files",0,NA,0,100,0,0,0,1,NA,NA,NA,NA,"no_manifest_files_unpatched"
23,1,500,"both",0.3,"MAR","missforest",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:35:12.94678,2026-08-13 14:36:11.736175,0.98,"ok"
24,2,500,"both",0.3,"MAR","missforest",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:35:12.972022,2026-08-13 14:36:16.069272,1.05,"ok"
25,4,500,"both",0.3,"MAR","missforest",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:35:12.845116,2026-08-13 14:36:18.952995,1.1,"ok"
26,5,500,"both",0.3,"MAR","missforest",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:25:19.063019,2026-08-13 14:26:09.222898,0.84,"ok"
27,1,500,"both",0.3,"MNAR","missforest",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:22:48.012917,2026-08-13 14:23:26.094547,0.63,"ok"
28,2,500,"both",0.3,"MNAR","missforest",FALSE,100,FALSE,NA,0,100,100,0,0,0,NA,"files",0,NA,0,100,0,0,0,1,NA,NA,NA,NA,"no_manifest_files_unpatched"
29,4,500,"both",0.3,"MNAR","missforest",FALSE,100,FALSE,NA,0,100,100,0,0,0,NA,"files",0,NA,0,100,0,0,0,1,NA,NA,NA,NA,"no_manifest_files_unpatched"
30,5,500,"both",0.3,"MNAR","missforest",FALSE,100,FALSE,NA,0,100,100,0,0,0,NA,"files",0,NA,0,100,0,0,0,1,NA,NA,NA,NA,"no_manifest_files_unpatched"
31,2,500,"both",0.3,"MNAR-Y","missforest",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:32:38.902434,2026-08-13 14:34:55.415588,2.28,"ok"
32,4,500,"both",0.3,"MNAR-Y","missforest",FALSE,100,FALSE,NA,0,100,100,0,0,0,NA,"files",0,NA,0,100,0,0,0,1,NA,NA,NA,NA,"no_manifest_files_unpatched"
33,5,500,"both",0.3,"MNAR-Y","missforest",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:37:39.36276,2026-08-13 14:39:18.835602,1.66,"ok"
34,1,500,"both",0.3,"MAR","regression",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:27:56.248868,2026-08-13 14:29:19.528902,1.39,"ok"
35,2,500,"both",0.3,"MAR","regression",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:27:56.262972,2026-08-13 14:29:13.399909,1.29,"ok"
36,4,500,"both",0.3,"MAR","regression",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:28:20.504976,2026-08-13 14:29:21.981046,1.02,"ok"
37,5,500,"both",0.3,"MAR","regression",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:24:49.965432,2026-08-13 14:25:40.73049,0.85,"ok"
38,1,500,"both",0.3,"MNAR","regression",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:24:49.98228,2026-08-13 14:26:11.922068,1.37,"ok"
39,2,500,"both",0.3,"MNAR","regression",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:33:56.461301,2026-08-13 14:38:03.844929,4.12,"ok"
40,4,500,"both",0.3,"MNAR","regression",FALSE,100,FALSE,NA,0,100,100,0,0,0,NA,"files",0,NA,0,100,0,0,0,1,NA,NA,NA,NA,"no_manifest_files_unpatched"
41,5,500,"both",0.3,"MNAR","regression",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:32:12.501328,2026-08-13 14:33:14.276985,1.03,"ok"
42,2,500,"both",0.3,"MNAR-Y","regression",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:33:14.079573,2026-08-13 14:35:00.127471,1.77,"ok"
43,4,500,"both",0.3,"MNAR-Y","regression",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:28:17.646556,2026-08-13 14:29:35.044552,1.29,"ok"
