"scenario","n","n_reps","stage1_bias_mean","stage1_bias_mcse","final_bias_mean","final_bias_mcse","ols_bias_mean","ols_bias_mcse","stage2_contribution","forest_minus_ols","mse_mean","corr_mean","te_exact_maxdev","flag"
1,100,50,0.0181796905149979,0.0131606258823416,0.0190159973588209,0.0133531948512551,0.0181796905149979,0.0131606258823416,0.000836306843823003,0.000836306843823003,0.0174199658978857,0,0,"not distinguishable from 0"
1,250,50,-0.00161137580946199,0.00797462836120239,-0.000818418767648438,0.00787886379599333,-0.00161137580946199,0.0079746283612024,0.000792957041813547,0.00079295704181355,0.0117388951737561,0,0,"not distinguishable from 0"
1,500,50,0.00654143394456198,0.00605300670473866,0.00599086698066751,0.00600239675104505,0.00654143394456196,0.00605300670473866,-0.000550566963894466,-0.00055056696389445,0.0093815898841293,0,0,"not distinguishable from 0"
1,1000,50,0.00682206182326739,0.00401501746529741,0.0069810604517395,0.00406977655401745,0.00682206182326738,0.00401501746529741,0.000158998628472108,0.000158998628472116,0.00722754117933687,0,0,"not distinguishable from 0"
2,100,50,0.0141916477923249,0.0155261985470534,0.0165813234325119,0.0156633225776383,0.0141916477923249,0.0155261985470534,0.00238967564018698,0.00238967564018698,0.0377112304330533,0.994031841562575,0,"not distinguishable from 0"
2,250,50,0.00356963559735683,0.00967019920684775,0.00422962644190152,0.00963677348786707,0.00356963559735683,0.00967019920684775,0.000659990844544694,0.000659990844544695,0.0166945048602027,0.994845206642152,0,"not distinguishable from 0"
2,500,50,-0.00408922225463404,0.00606985139041816,-0.00408579135919855,0.00614345558949848,-0.00408922225463404,0.00606985139041816,3.43089543548836e-06,3.43089543548662e-06,0.0116816940359018,0.995404698810038,0,"not distinguishable from 0"
2,1000,50,-0.0114479024752884,0.00443531284947555,-0.0112512490027796,0.00443445649870945,-0.0114479024752884,0.00443531284947555,0.000196653472508768,0.000196653472508763,0.00926423413715226,0.99570077194143,0,"PERSISTS at largest n tested - investigate"
3,100,50,0.00675126679684823,0.0109087350459637,0.0058812042311151,0.0110637750274615,0.00675126679684822,0.0109087350459637,-0.00087006256573313,-0.000870062565733127,0.187752811285801,0.94035354439771,0,"not distinguishable from 0"
3,250,50,-0.000241115597630214,0.0101037706069201,-0.00245264818942432,0.0102306516035964,-0.000241115597630218,0.0101037706069201,-0.0022115325917941,-0.0022115325917941,0.0916328865529179,0.968894475157463,0,"not distinguishable from 0"
3,500,50,0.010213861120032,0.00704837723123354,0.00980093089863985,0.00704060656507062,0.010213861120032,0.00704837723123354,-0.00041293022139214,-0.000412930221392145,0.0523544702550604,0.979335610477893,0,"not distinguishable from 0"
